entry_id,volume,chapter,unit,sequence,source_order,korean,chinese,english,entry_kind,pos,pos_zh,origin_type,origin_detail,pronunciation,dictionary_source,dictionary_candidate_count,match_method,english_method,match_confidence,review_status,revision_note
v04-c01-u01-001,4,1,1,1,1,겁,害怕，胆小,fear; fright,lexeme,명사,名,hanja,怯,,Korean Basic Dictionary,4,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u01-002,4,1,1,2,2,적응,适应,adaptation; adjustment,lexeme,명사,名,hanja,適應,저긍,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u01-003,4,1,1,3,3,다행이다,万幸,be fortunate; what a relief,expression,표현,表达,expression,,,,0,unmatched,editorial_override,0.15,low,English gloss added by project editorial pass.
v04-c01-u01-004,4,1,1,4,4,시설,设施，设备,facility; installation,lexeme,명사,名,hanja,施設,시ː설,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u01-005,4,1,1,5,5,도심,城市中心,downtown,lexeme,명사,名,hanja,都心,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u01-006,4,1,1,6,6,주택가,住宅区,residential area,lexeme,명사,名,hanja,住宅街,주ː택까,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u01-007,4,1,1,7,7,도시 근교,城市近郊,city outskirts,expression,표현,表达,expression,도시(都市) + 근교(近郊),,Korean Basic Dictionary,0,component_match,editorial_override,0.42,low,English gloss added by project editorial pass.
v04-c01-u01-008,4,1,1,8,8,고층 건물,高层建筑,high-rise building,expression,표현,表达,expression,고층(高層) + 건물(建物),,Korean Basic Dictionary,0,component_match,editorial_override,0.42,low,English gloss added by project editorial pass.
v04-c01-u01-009,4,1,1,9,9,편의 시설,便利设施,amenities; convenience facilities,expression,표현,表达,expression,편의(便宜) + 시설(施設),,Korean Basic Dictionary,0,component_match,editorial_override,0.42,low,English gloss added by project editorial pass.
v04-c01-u01-010,4,1,1,10,10,한적하다,闲适，幽静,deserted; secluded,lexeme,형용사,形,hybrid,閑寂하다,한저카다,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u02-001,4,1,2,11,11,번화하다,繁华,bustling; thriving,lexeme,형용사,形,hybrid,繁華하다,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u02-002,4,1,2,12,12,쾌적하다,令人愉快，舒适,pleasant,lexeme,형용사,形,hybrid,快適하다,쾌저카다,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u02-003,4,1,2,13,13,인생,人生,life,lexeme,명사,名,hanja,人生,,Korean Basic Dictionary,3,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v04-c01-u02-004,4,1,2,14,14,영향,影响,influence,lexeme,명사,名,hanja,影響,영ː향,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u02-005,4,1,2,15,15,끼치다,带来，产生,cause; give,lexeme,동사,动,native,,,Korean Basic Dictionary,4,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v04-c01-u02-006,4,1,2,16,16,부럽다,羡慕，眼馋,envious of,lexeme,형용사,形,native,,부럽따,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u02-007,4,1,2,17,17,궁금하다,想知道，挂念,curious,lexeme,형용사,形,native,,,Korean Basic Dictionary,2,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v04-c01-u02-008,4,1,2,18,18,뿌듯하다,充实，心满意足,filled with joy; overwhelmed with pride,lexeme,형용사,形,native,,뿌드타다,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u02-009,4,1,2,19,19,초조하다,烦躁，焦躁,fretting; anxious; nervous,lexeme,형용사,形,hybrid,焦燥하다,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u02-010,4,1,2,20,20,당황스럽다,惊慌，慌张,rather embarrassed; rather bewildered; rather disconcerted,lexeme,형용사,形,hybrid,唐慌스럽다,당황스럽따,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u03-001,4,1,3,21,21,부담스럽다,有负担，有压力,burdensome,lexeme,형용사,形,hybrid,負擔스럽다,부ː담스럽따,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u03-002,4,1,3,22,22,짜증스럽다,心烦,irritated; annoyed,lexeme,형용사,形,native,,짜증스럽따,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v04-c01-u03-003,4,1,3,23,23,정신,精神,spirit; mind,lexeme,명사,名,hanja,精神,,Korean Basic Dictionary,17,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v04-c01-u03-004,4,1,3,24,24,차리다,打起,come to one's senses,lexeme,동사,动,native,,,Korean Basic Dictionary,7,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v04-c01-u03-005,4,1,3,25,25,산더미,堆积如山,pile; heap; stack,lexeme,명사,名,hybrid,山더미,산떠미,Korean Basic Dictionary,2,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v04-c01-u03-006,4,1,3,26,26,쌓이다,堆积，积累,be piled up; be heaped,lexeme,동사,动,native,,싸이다,Korean Basic Dictionary,6,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v04-c01-u03-007,4,1,3,27,27,살펴보다,照看，照料,examine; check,lexeme,동사,动,native,,,Korean Basic Dictionary,3,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v04-c01-u03-008,4,1,3,28,28,계획적,计划的,being planned,lexeme,명사,名,hanja,計劃的/計畫的,계ː획쩍/게ː훽쩍,Korean Basic Dictionary,2,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v04-c01-u03-009,4,1,3,29,29,효율적,有效的，高效的,being efficient; being effective,lexeme,명사,名,hanja,效率的,효ː율쩍,Korean Basic Dictionary,2,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v04-c01-u03-010,4,1,3,30,30,비효율적,没效率的，效率低的,being inefficient,lexeme,명사,名,hanja,非效率的,비ː효율쩍,Korean Basic Dictionary,2,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v04-c01-u03-011,4,1,3,31,31,미루다,拖延，延后,delay; put off; postpone,lexeme,동사,动,native,,,Korean Basic Dictionary,3,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v04-c01-u03-012,4,1,3,32,32,포기하다,放弃，抛弃,give up,lexeme,동사,动,hybrid,抛棄하다,포ː기하다,Korean Basic Dictionary,2,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v04-c01-u03-013,4,1,3,33,33,목표를 정하다,定目标,set a goal,expression,표현,表达,expression,목표(目標) + 정하다(定하다),,Korean Basic Dictionary,0,component_match,editorial_override,0.42,low,English gloss added by project editorial pass.
v04-c01-u04-001,4,1,4,34,34,시간에 쫓기다,时间所迫,be pressed for time,expression,표현,表达,expression,시간(時間) + 쫓기다(固),,Korean Basic Dictionary,0,component_match,editorial_override,0.42,low,English gloss added by project editorial pass.
v04-c01-u04-002,4,1,4,35,35,시간을 관리하다,管理时间,manage one's time,expression,표현,表达,expression,시간(時間) + 관리하다(管理하다),,Korean Basic Dictionary,0,component_match,editorial_override,0.42,low,English gloss added by project editorial pass.
v04-c01-u04-003,4,1,4,36,36,양로원,养老院,nursing home,lexeme,명사,名,hanja,養老院,양ː노원,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
