entry_id,volume,chapter,unit,sequence,source_order,korean,chinese,english,entry_kind,pos,pos_zh,origin_type,origin_detail,pronunciation,dictionary_source,dictionary_candidate_count,match_method,english_method,match_confidence,review_status,revision_note
v01-c01-u01-001,1,1,1,1,1,안녕하십니까,你好,hello; how do you do?,expression,표현,表达,expression,安寧 + 하다 + 敬语终结,,,0,unmatched,editorial_override,0.15,low,Migrated from the reviewed Volume 1 edition.
v01-c01-u01-002,1,1,1,2,2,네,是的,yes; yes sir; yes ma'am,lexeme,감탄사,叹,native,,,Korean Basic Dictionary,7,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v01-c01-u01-003,1,1,1,3,3,저,我,I; me (humble),lexeme,대명사,代,native,,,Korean Basic Dictionary,11,editorial_override,editorial_override,1.0,verified,第一人称代词 저。
v01-c01-u01-004,1,1,1,4,4,이름,姓名,name; full name,lexeme,명사,名,native,,,Korean Basic Dictionary,13,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v01-c01-u01-005,1,1,1,5,5,선생님,老师,teacher; master,lexeme,명사,名,hybrid,先生님,,Korean Basic Dictionary,3,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v01-c01-u01-006,1,1,1,6,6,씨,小姐，先生（用于姓之后，表示尊敬）,Mr.; Ms.; honorific suffix,grammar,의존 명사,依存名,hanja,氏,,Korean Basic Dictionary,12,editorial_override,editorial_override,1.0,verified,敬称 씨；避免误配为“种子”。
v01-c01-u01-007,1,1,1,7,7,성,姓,surname; family name,lexeme,명사,名,hanja,姓,성ː,Korean Basic Dictionary,9,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v01-c01-u01-008,1,1,1,8,8,인도 사람,印度人,Indian person,expression,표현,表达,expression,인도(印度) + 사람(固),,Korean Basic Dictionary,0,component_match,editorial_override,0.42,low,Migrated from the reviewed Volume 1 edition.
v01-c01-u01-009,1,1,1,9,9,중국,中国,China,lexeme,명사,名,hanja,中國,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v01-c01-u01-010,1,1,1,10,10,제,我的,my,grammar,관형사,冠,grammar,저의 → 제,,Korean Basic Dictionary,13,editorial_override,editorial_override,1.0,verified,저의 的缩约；避免误配为汉字 제。
v01-c01-u01-011,1,1,1,11,11,그리고,和,and,lexeme,부사,副,native,,,Korean Basic Dictionary,1,exact_unique_form,dictionary_equivalent,0.78,medium,
v01-c01-u01-012,1,1,1,12,12,친구,朋友,friend,lexeme,명사,名,hanja,親舊,,Korean Basic Dictionary,4,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v01-c01-u02-001,1,1,2,13,13,어느,哪（个）,any,lexeme,관형사,冠,native,,,Korean Basic Dictionary,14,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v01-c01-u02-002,1,1,2,14,14,나라,国家,country; nation; state,lexeme,명사,名,native,,,Korean Basic Dictionary,2,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v01-c01-u02-003,1,1,2,15,15,사람,人,human; man,lexeme,명사,名,native,,사ː람,Korean Basic Dictionary,34,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v01-c01-u02-004,1,1,2,16,16,미국,美国,the United States,lexeme,명사,名,hanja,美國,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v01-c01-u02-005,1,1,2,17,17,아니요,不,no; no sir; no ma'am,lexeme,감탄사,叹,native,,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v01-c01-u02-006,1,1,2,18,18,일본,日本,Japan,lexeme,명사,名,hanja,日本,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v01-c01-u02-007,1,1,2,19,19,그렇습니까,是吗,is that so?,expression,형용사,形,expression,그렇다 + 正式疑问终结,그러타,Korean Basic Dictionary,6,exact_ambiguous_tie,editorial_override,0.45,low,Migrated from the reviewed Volume 1 edition.
v01-c01-u02-008,1,1,2,20,20,영국,英国,England; the United Kingdom,lexeme,명사,名,hanja,英國,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v01-c01-u02-009,1,1,2,21,21,독일,德国,Germany,lexeme,명사,名,hanja,獨逸,도길,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v01-c01-u02-010,1,1,2,22,22,러시아,俄罗斯,Russia,lexeme,명사,名,loanword,Russia,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
