entry_id,volume,chapter,unit,sequence,source_order,korean,chinese,english,entry_kind,pos,pos_zh,origin_type,origin_detail,pronunciation,dictionary_source,dictionary_candidate_count,match_method,english_method,match_confidence,review_status,revision_note
v05-c01-u01-001,5,1,1,1,1,알다시피,如...所知道的,as you know,expression,표현,表达,expression,,,,0,unmatched,editorial_override,0.15,low,English gloss added by project editorial pass.
v05-c01-u01-002,5,1,1,2,2,지사,分社，分公司,branch office,lexeme,명사,名,hanja,支社,,Korean Basic Dictionary,2,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v05-c01-u01-003,5,1,1,3,3,파견,派遣,sending; dispatching,lexeme,명사,名,hanja,派遣,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v05-c01-u01-004,5,1,1,4,4,당장,立刻，马上,right now,lexeme,명사,名,hanja,當場,,Korean Basic Dictionary,5,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v05-c01-u01-005,5,1,1,5,5,접하다,接触,meet with,lexeme,동사,动,hybrid,接하다,저파다,Korean Basic Dictionary,5,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v05-c01-u01-006,5,1,1,6,6,토론,讨论,discussion; debate,lexeme,명사,名,hanja,討論,토ː론,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v05-c01-u01-007,5,1,1,7,7,토의,商议,discussion; debate,lexeme,명사,名,hanja,討議,토ː의/토ː이,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v05-c01-u01-008,5,1,1,8,8,면접,面试,interview; oral test,lexeme,명사,名,hanja,面接,면ː접,Korean Basic Dictionary,2,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v05-c01-u01-009,5,1,1,9,9,인터뷰,采访,interview,lexeme,명사,名,loanword,interview,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v05-c01-u01-010,5,1,1,10,10,발표,发表,announcement; presentation; release; roll out,lexeme,명사,名,hanja,發表,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v05-c01-u01-011,5,1,1,11,11,연설,演说,speech; address,lexeme,명사,名,hanja,演說,연ː설,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
